"","SeqID","Rep","System","Collection","Organ"
"WPC2FHBD04B04C","WPC2FHBD04B04C","Two","Hatch_Brood","D04","Cecum"
"WPC2FHBD04B05C","WPC2FHBD04B05C","Two","Hatch_Brood","D04","Cecum"
"WPC2FHBD04B06C","WPC2FHBD04B06C","Two","Hatch_Brood","D04","Cecum"
"WPC2FHBD04B08C","WPC2FHBD04B08C","Two","Hatch_Brood","D04","Cecum"
"WPC2FHBD04B09C","WPC2FHBD04B09C","Two","Hatch_Brood","D04","Cecum"
"WPC2FHBD04B10C","WPC2FHBD04B10C","Two","Hatch_Brood","D04","Cecum"
"WPC2FHBD08B01C","WPC2FHBD08B01C","Two","Hatch_Brood","D08","Cecum"
"WPC2FHBD08B02C","WPC2FHBD08B02C","Two","Hatch_Brood","D08","Cecum"
"WPC2FHBD08B03C","WPC2FHBD08B03C","Two","Hatch_Brood","D08","Cecum"
"WPC2FHBD08B04C","WPC2FHBD08B04C","Two","Hatch_Brood","D08","Cecum"
"WPC2FHBD08B05C","WPC2FHBD08B05C","Two","Hatch_Brood","D08","Cecum"
"WPC2FHBD08B06C","WPC2FHBD08B06C","Two","Hatch_Brood","D08","Cecum"
"WPC2FHBD08B07C","WPC2FHBD08B07C","Two","Hatch_Brood","D08","Cecum"
"WPC2FHBD08B08C","WPC2FHBD08B08C","Two","Hatch_Brood","D08","Cecum"
"WPC2FHBD08B09C","WPC2FHBD08B09C","Two","Hatch_Brood","D08","Cecum"
"WPC2FHBD08B10C","WPC2FHBD08B10C","Two","Hatch_Brood","D08","Cecum"
"WPC2FHBD10B01C","WPC2FHBD10B01C","Two","Hatch_Brood","D10","Cecum"
"WPC2FHBD10B02C","WPC2FHBD10B02C","Two","Hatch_Brood","D10","Cecum"
"WPC2FHBD10B04C","WPC2FHBD10B04C","Two","Hatch_Brood","D10","Cecum"
"WPC2FHBD10B05C","WPC2FHBD10B05C","Two","Hatch_Brood","D10","Cecum"
"WPC2FHBD10B06C","WPC2FHBD10B06C","Two","Hatch_Brood","D10","Cecum"
"WPC2FHBD10B07C","WPC2FHBD10B07C","Two","Hatch_Brood","D10","Cecum"
"WPC2FHBD10B08C","WPC2FHBD10B08C","Two","Hatch_Brood","D10","Cecum"
"WPC2FHBD10B09C","WPC2FHBD10B09C","Two","Hatch_Brood","D10","Cecum"
"WPC2FHBD10B10C","WPC2FHBD10B10C","Two","Hatch_Brood","D10","Cecum"
"WPC2FHBD15B01C","WPC2FHBD15B01C","Two","Hatch_Brood","D15","Cecum"
"WPC2FHBD15B02C","WPC2FHBD15B02C","Two","Hatch_Brood","D15","Cecum"
"WPC2FHBD15B03C","WPC2FHBD15B03C","Two","Hatch_Brood","D15","Cecum"
"WPC2FHBD15B04C","WPC2FHBD15B04C","Two","Hatch_Brood","D15","Cecum"
"WPC2FHBD15B05C","WPC2FHBD15B05C","Two","Hatch_Brood","D15","Cecum"
"WPC2FHBD15B06C","WPC2FHBD15B06C","Two","Hatch_Brood","D15","Cecum"
"WPC2FHBD15B07C","WPC2FHBD15B07C","Two","Hatch_Brood","D15","Cecum"
"WPC2FHBD15B08C","WPC2FHBD15B08C","Two","Hatch_Brood","D15","Cecum"
"WPC2FHBD15B09C","WPC2FHBD15B09C","Two","Hatch_Brood","D15","Cecum"
"WPC2FHBD15B10C","WPC2FHBD15B10C","Two","Hatch_Brood","D15","Cecum"
"WPC2FHBD18B01C","WPC2FHBD18B01C","Two","Hatch_Brood","D18","Cecum"
"WPC2FHBD18B02C","WPC2FHBD18B02C","Two","Hatch_Brood","D18","Cecum"
"WPC2FHBD18B03C","WPC2FHBD18B03C","Two","Hatch_Brood","D18","Cecum"
"WPC2FHBD18B04C","WPC2FHBD18B04C","Two","Hatch_Brood","D18","Cecum"
"WPC2FHBD18B05C","WPC2FHBD18B05C","Two","Hatch_Brood","D18","Cecum"
"WPC2FHBD18B06C","WPC2FHBD18B06C","Two","Hatch_Brood","D18","Cecum"
"WPC2FHBD18B07C","WPC2FHBD18B07C","Two","Hatch_Brood","D18","Cecum"
"WPC2FHBD18B08C","WPC2FHBD18B08C","Two","Hatch_Brood","D18","Cecum"
"WPC2FHBD18B09C","WPC2FHBD18B09C","Two","Hatch_Brood","D18","Cecum"
"WPC2FHBD18B10C","WPC2FHBD18B10C","Two","Hatch_Brood","D18","Cecum"
"WPC2FHBD22B01C","WPC2FHBD22B01C","Two","Hatch_Brood","D22","Cecum"
"WPC2FHBD22B02C","WPC2FHBD22B02C","Two","Hatch_Brood","D22","Cecum"
"WPC2FHBD22B03C","WPC2FHBD22B03C","Two","Hatch_Brood","D22","Cecum"
"WPC2FHBD22B04C","WPC2FHBD22B04C","Two","Hatch_Brood","D22","Cecum"
"WPC2FHBD22B05C","WPC2FHBD22B05C","Two","Hatch_Brood","D22","Cecum"
